ID,日付,種別,タイトル,本文,公開,月次,年次,原URL
N0009,2026-08-06,ニュース,NATO、ウクライナ防空急ぐ,"NATOのラッテ事務総長は、ウクライナが「緊急に必要としている」防空能力の確保に取り組んでいると表明した。水曜日の攻撃でウクライナがロシアのミサイルを1発も撃墜できなかったことを受けた発言。ゼレンスキー大統領は、冬を前にロシアがミサイル生産を大幅に増強しようとしていると警告し、西側同盟国からのミサイル供給停滞が意図的である可能性も排除しなかった。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F06%2Fukraine-nato-air-defences-missiles-russia-zelenskyy-patriot)",1,,,https://www.theguardian.com/world/2026/aug/06/ukraine-nato-air-defences-missiles-russia-zelenskyy-patriot
N0010,2026-08-06,ニュース,ライプツィヒで爆発物ドローン,"ドイツ・ライプツィヒ空港で爆発物を搭載したドローンが発見され、多数の死傷者が出る事態が間一髪で回避された可能性があると独当局が明らかにした。当局は外国政府の関与の有無を調べている。非公開の警察報告書によると、ドローンが発見された場所のすぐ近くには軍事用弾薬を積んだウクライナの航空機が駐機していたといい、内務相アレクサンダー・ドブリント氏が対応にあたっている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F06%2Fleipzig-drone-bomb-found-near-ukrainian-plane-carrying-ammunition)",1,,,https://www.theguardian.com/world/2026/aug/06/leipzig-drone-bomb-found-near-ukrainian-plane-carrying-ammunition
N0011,2026-08-05,ニュース,露のキーウ攻撃で17人死亡,"ロシアによる夜間の攻撃でキーウなどで少なくとも17人が死亡し、数十人が負傷した。ウクライナ空軍の暫定データによると、ロシアが撃った115機のドローンのうち98機は撃墜できたが、弾道ミサイルは1発も撃墜できなかった。ゼレンスキー大統領は同盟国が防空装備の供与を急いでいないと批判し、「弾道ミサイル迎撃機があれば今日亡くなった人々を救えた」と述べた。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F05%2Frussia-kyiv-attack-kills-at-least-14-people-ukraine-authorities)",1,,,https://www.theguardian.com/world/2026/aug/05/russia-kyiv-attack-kills-at-least-14-people-ukraine-authorities
N0012,2026-08-03,ニュース,黒海・クリミアにドローン攻撃,"ロシア当局によると、ウクライナのドローン攻撃で黒海沿岸のリゾート地とロシアが併合したクリミア半島で計11人が死亡した。保養地アルヒポ・オシポフカではドローンの破片がビーチに落下し、子供3人を含む7人が死亡したとクラスノダール地方当局が発表した。ロシア側は、モスクワのレストランで5人が死亡した爆発についてもウクライナの犯行だとしている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F03%2Frussia-blames-ukraine-deadly-moscow-restaurant-bombing)",1,,,https://www.theguardian.com/world/2026/aug/03/russia-blames-ukraine-deadly-moscow-restaurant-bombing
N0013,2026-08-02,ニュース,トランプ氏、対イラン攻撃撤回,"トランプ米大統領は、イランの核計画をめぐる合意とホルムズ海峡の全面再開を「速やかに」実現できる見通しが立ったとして、イランへの軍事攻撃計画を撤回したと明らかにした。トランプ氏は土曜日、自身のSNS「トゥルース・ソーシャル」への投稿で、イランや周辺国からの要請を受け、事態打開を期待して攻撃を保留したと主張した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F02%2Ftrump-climbs-down-on-iran-strikes-after-saudi-alarm-and-threats-from-tehran)",1,,,https://www.theguardian.com/world/2026/aug/02/trump-climbs-down-on-iran-strikes-after-saudi-alarm-and-threats-from-tehran
N0014,2026-08-01,ニュース,キーウ攻撃で10人死亡,"土曜未明、キーウが再び弾道ミサイル攻撃を受け、ロイター通信によると少なくとも10人が死亡、22人が負傷したと伝えられている。国家非常事態庁は首都の5地区で火災と破壊が発生したとした。この攻撃は、トランプ米大統領がウクライナ独自のパトリオット防空迎撃ミサイル製造を認める約束からさらに後退したタイミングで起き、ゼレンスキー大統領はスターリンク衛星通信網をロシア領内への攻撃に活用できるよう働きかけているという。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Faug%2F01%2Fukraine-war-briefing-missile-attack-on-kyiv-kills-at-least-three-as-zelenskyy-pushes-to-use-starlink-for-attacks-in-russia)

【2026-07-25〜2026-07-31】",1,,,https://www.theguardian.com/world/2026/aug/01/ukraine-war-briefing-missile-attack-on-kyiv-kills-at-least-three-as-zelenskyy-pushes-to-use-starlink-for-attacks-in-russia
N0015,2026-07-31,ニュース,ハマス完全武装解除に合意,"トランプ米大統領は木曜夜、ガザにおけるハマスの武装解除とイスラエル軍撤退をめぐる交渉で合意に達したとSNSで発表した。ハマスなど武装勢力の「完全な武装解除」を含むとしているが、撤退と武装解除のどちらを先行させるかは明らかにされていない。イスラエル政府は正式な回答をしておらず、当局者からは合意への懐疑的な見方も出ている。この対立は昨年10月の停戦合意の履行を妨げてきた問題である。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F31%2Ftrump-hamas-disarmament-agreement-gaza-board-of-peace)",1,1,,https://www.theguardian.com/world/2026/jul/31/trump-hamas-disarmament-agreement-gaza-board-of-peace
N0016,2026-07-31,ニュース,イラン、ホルムズでタンカー攻撃,"イランは、米軍の護衛を受けてホルムズ海峡を通過しようとしたタンカー2隻を攻撃し航行を止めたと発表した。革命防衛隊は「規則に従わない」タンカーを標的にしたとし、他の4隻は進路を変えて引き返したとしている。トランプ米大統領は中間選挙を控え、長期化する戦争と原油価格の上昇への対応を協議するため閣議を招集した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F31%2Firan-strikes-tankers-us-escort-hormuz-strait-trump-gathers-cabinet)",1,,,https://www.theguardian.com/world/2026/jul/31/iran-strikes-tankers-us-escort-hormuz-strait-trump-gathers-cabinet
N0017,2026-07-30,ニュース,サウジ、フーシ派に攻勢準備,"サウジアラビアが、紅海南部を通る自国の石油輸出を妨げるフーシ派の封鎖を打破するため、イエメン中部で海上、さらには地上からの大規模な軍事攻勢を準備しているとイエメン筋が明らかにした。サウジ軍はイエメン東部から撤退する動きを見せており、地上侵攻の準備との見方も出ている。リヤドは同時に、紅海とバブエルマンデブ海峡でフーシ派の攻撃から船舶を守るための多国籍海軍連合の結成も進めている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F30%2Fsaudi-forces-planning-major-offensive-against-houthis-central-yemen)",1,,,https://www.theguardian.com/world/2026/jul/30/saudi-forces-planning-major-offensive-against-houthis-central-yemen
N0018,2026-07-30,ニュース,露ミサイル、ポーランド着弾,"ロシアがウクライナへ実施した大規模な空爆で13人が死亡した際、その一環とみられるミサイルが隣国ポーランド東部ルブリン近郊の村タルナヴァ・コロニアの畑に着弾し、直径約10メートルの穴ができた。人的被害はなかったが、NATOの防空システムが作動し、ロシアによるポーランド領空侵犯だとの非難が上がった。トゥスク首相は、着弾したのはロシア製巡航ミサイルKh-101と「見られる」と述べ、軍の初期分析でもこの見方が裏付けられたとしている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F30%2Fukraine-russia-missile-strikes-attack-kyiv)",1,,,https://www.theguardian.com/world/2026/jul/30/ukraine-russia-missile-strikes-attack-kyiv
N0019,2026-07-29,ニュース,米・サウジ、イラク民兵を空爆,"親イラン系民兵組織が中東の米軍拠点に弾道ミサイルの一斉攻撃を仕掛けたのに対し、米軍はこれを迎撃するとともに、サウジアラビア軍と共同でイラク国内の民兵拠点を空爆し、少なくとも20人を殺害した。米側はイランによる「奇襲攻撃の試み」への対応だとしている。数日間の攻撃休止を経ての衝突再燃であり、専門家は中東情勢が「未知の領域」に入ったと警告している。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F29%2Firan-missile-attack-us-base-forces)",1,1,,https://www.theguardian.com/world/2026/jul/29/iran-missile-attack-us-base-forces
N0020,2026-07-28,ニュース,紅海封鎖でアジア原油危機,"イエメンのフーシ派によるサウジアラビア向け船舶へのバブエルマンデブ海峡での封鎖が悪化し、湾岸産原油が自由に航行できる航路はスエズ運河のみとなりつつある。中東産原油への依存度が最大9割に達する日本、フィリピン、タイ、韓国などアジア諸国は、半年で2度目となる深刻なエネルギー危機を回避しようと供給確保に奔走している。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F28%2Fasia-energy-oil-crisis-red-sea-blockade-houthis)",1,,,https://www.theguardian.com/world/2026/jul/28/asia-energy-oil-crisis-red-sea-blockade-houthis
N0021,2026-07-25,ニュース,露、キーウの兵器見本市を攻撃,"ロシアの弾道ミサイルが、キーウ近郊で開催されていた防衛産業の見本市会場を直撃し、10人が死亡、約100人が負傷した。周辺の住宅も被害を受けた。ゼレンスキー大統領は、このような催しが開かれるべきではなかったとしつつ、攻撃の原因はあくまでロシアのミサイルによる「テロ」だと非難した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F25%2Fukraine-war-briefing-ten-killed-russian-attack-weapons-exhibition-near-kyiv)

【2026-07-18〜2026-07-24】",1,,,https://www.theguardian.com/world/2026/jul/25/ukraine-war-briefing-ten-killed-russian-attack-weapons-exhibition-near-kyiv
N0022,2026-07-24,ニュース,イスラエル、西岸で軍事作戦準備,"ヨルダン川西岸のパレスチナ人村に武装した入植者がイスラエル軍の支援を受けて立ち入り、銃をめぐる小競り合いから軍が発砲する事態となり、パレスチナ人4人とイスラエル人2人が死亡した。周辺では入植者による報復的な襲撃も相次ぎ、多数の負傷者が出ている。これを受けイスラエル政府は西岸で「大規模な」軍事作戦の準備を進めていると発表した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F24%2Fpalestinians-israeli-killed-west-bank-shooting)",1,,,https://www.theguardian.com/world/2026/jul/24/palestinians-israeli-killed-west-bank-shooting
N0023,2026-07-24,ニュース,米、イラン攻撃拡大し紅海へ警告,"米軍はイラン国内のカスピ海沿岸に及ぶ地域まで攻撃対象を拡大した。トランプ大統領は、イランとイエメンのフーシ派が紅海入り口という新たな航路の要衝で攻撃を広げたことを受け、両者に「大規模な軍事的制裁」を科すと警告した。イランは金曜、米軍基地や周辺の同盟国に対しミサイル・ドローン攻撃で応じており、ニューヨーク・タイムズは、イラク首相アリ・アルザイディを介して伝えられた米国の停戦案をイランが拒否したと報じている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F24%2Fus-expands-iran-attacks-as-trump-warns-tehran-and-houthis-over-red-sea-strikes)",1,,,https://www.theguardian.com/world/2026/jul/24/us-expands-iran-attacks-as-trump-warns-tehran-and-houthis-over-red-sea-strikes
N0024,2026-07-24,ニュース,豪AUKUS原潜、核拡散に懸念,"オーストラリアが計画する原子力潜水艦部隊は、数億年にわたり放射能を帯び、多数の核弾頭に転用可能な兵器級ウラン235を大量に残すことになると、核専門家らがAUKUSに関する公聴会で警告した。元米国家安全保障担当補佐官は、非核兵器国であるオーストラリアへの高濃縮ウラン移転を伴うAUKUS協定が、他国にも危険な核拡散の前例を与えると本紙に語った。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F25%2Faukus-nuclear-submarines-danger-weapons-grade-uranium)",1,,,https://www.theguardian.com/world/2026/jul/25/aukus-nuclear-submarines-danger-weapons-grade-uranium
N0025,2026-07-23,ニュース,米サウジ、原子力協定に懸念,"米国とサウジアラビアは、米国の技術と専門知識を用いてサウジに民生用原子力プログラムを構築する画期的な協定に合意した。詳細の多くは不明だが、サウジが国内でウラン濃縮を行う能力を持つか否かが焦点となっており、中東各国やワシントンの政界に核拡散への懸念が広がっている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F23%2Fwhat-is-the-us-saudi-arabia-nuclear-power-deal-explained)",1,,,https://www.theguardian.com/world/2026/jul/23/what-is-the-us-saudi-arabia-nuclear-power-deal-explained
N0026,2026-07-21,ニュース,中国艦、日本EEZで実弾演習,"中国のミサイル駆逐艦が日曜、日本の排他的経済水域(EEZ)内で初めて実弾を発射する演習を行った。中国艦3隻とロシアのフリゲート艦1隻は沖縄本島と宮古島の間を通過して太平洋へ抜けた後、沖ノ鳥島の南西約330キロで再び確認された。この演習の翌日には、南シナ海で中国とフィリピンの艦船が衝突する事態も起きている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F21%2Fchinese-ship-opens-fire-japan-economic-zone-south-china-sea)",1,1,,https://www.theguardian.com/world/2026/jul/21/chinese-ship-opens-fire-japan-economic-zone-south-china-sea
N0027,2026-07-21,ニュース,ゼレンスキー氏、軍司令官更迭,"ウクライナのゼレンスキー大統領は総司令官オレクサンドル・シルスキー氏を更迭し、後任に人気の若手将軍ミハイロ・ドラパティ氏を任命した。あわせて、シルスキー氏との対立を理由に先週解任し全国的な抗議デモを招いた国防相ミハイロ・フェドロフ氏に「重要なポスト」を用意すると表明した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F21%2Fzelenskyy-replaces-military-leader-and-brings-back-defence-minister-he-sacked)",1,,,https://www.theguardian.com/world/2026/jul/21/zelenskyy-replaces-military-leader-and-brings-back-defence-minister-he-sacked
N0028,2026-07-19,ニュース,ロシア、キーウに5時間猛攻,"ロシアはキーウなど複数の都市に対し、イスカンデルMや極超音速兵器ジルコンなど約40発の弾道ミサイルを用いた5時間に及ぶ攻撃を行った。この攻撃は開戦以来最大級の規模とされ、少なくとも6人が死亡、数十人が負傷したほか、首都各地で火災や建物被害が発生した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F19%2Fdozens-of-russian-missiles-pound-kyiv-ukraine-in-major-attack)",1,,,https://www.theguardian.com/world/2026/jul/19/dozens-of-russian-missiles-pound-kyiv-ukraine-in-major-attack
N0029,2026-07-15,ニュース,対露スパイ天国、日本の実態,"日本はスパイ行為の多くが違法とされない稀な民主主義国として、80年近くにわたり外国の情報機関にとって活動しやすい環境であり続けてきた。ロシアがウクライナ侵攻に使う技術の調達拠点として日本が利用されているとの指摘を受け、東京は戦後最大級となる情報機関・対諜報体制の見直しに乗り出している。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F15%2Fjapan-russian-den-of-spies-explainer)",1,1,,https://www.theguardian.com/world/2026/jul/15/japan-russian-den-of-spies-explainer
N0030,2026-07-13,ニュース,ホルムズ封鎖、米が対イラン空爆3夜目,"トランプ大統領がホルムズ海峡での海上封鎖を復活させ、通航船舶への課金という方針転換も表明した数時間後、米軍は対イラン空爆を3夜連続で実施した。米中央軍は「これらの攻撃はイラン軍に大きな代償を課し続け、ホルムズ海峡での民間人・商船への攻撃能力を弱めるものだ」と説明した。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F13%2Fus-launches-third-night-of-strikes-on-iran-as-trump-announces-hormuz-blockade)",1,1,,https://www.theguardian.com/world/2026/jul/13/us-launches-third-night-of-strikes-on-iran-as-trump-announces-hormuz-blockade
N0031,2026-07-06,ニュース,露のキーウ攻撃で21人死亡,"NATO首脳会議を翌日に控え、ロシアがウクライナ全土にミサイルとドローンによる大規模攻撃を行い、少なくとも21人が死亡した。首都キーウでは15人が死亡、56人が負傷したとキーウ市当局が発表し、周辺のキーウ州でも6人が死亡した。この攻撃は、ウクライナの防空体制の隙を改めて浮き彫りにした。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F06%2Frussia-launches-deadly-missile-drone-attacks-kyiv-ukraine)",1,,,https://www.theguardian.com/world/2026/jul/06/russia-launches-deadly-missile-drone-attacks-kyiv-ukraine
N0032,2026-07-02,ニュース,露、キーウに過去最大級攻撃,"ロシアがキーウに対しドローン約500機とミサイル70発超を投入した大規模攻撃を行い、市当局によると少なくとも27人が死亡、多数が負傷した。クリチコ市長は、4年余りに及ぶロシア軍の空爆の中でも最悪の攻撃だと述べた。爆発は数時間にわたって首都を揺らし、住宅や各種施設にも被害が広がった。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F02%2Frussia-attacks-kyiv-missiles-drones-ukraine)",1,1,,https://www.theguardian.com/world/2026/jul/02/russia-attacks-kyiv-missiles-drones-ukraine
N0033,2026-07-01,ニュース,中国、日本を「軍拡」と非難,"中国は日本が「新たな軍国主義」を追求していると非難し、軍民両用の物資を扱う日本企業40社を対象に新たな輸出規制を発表した。背景には、中国・ロシア両軍の爆撃機が日本の領空付近で合同演習を行ったことへの東京側の抗議がある。戦後日中関係の中でも際立って低い水準まで緊張が悪化しており、経済と安全保障の両面で摩擦が広がっている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjul%2F02%2Fchina-japan-relations-tokyo-beijing-tensions)",1,1,,https://www.theguardian.com/world/2026/jul/02/china-japan-relations-tokyo-beijing-tensions
N0034,2026-06-28,ニュース,トランプ氏、イラン壊滅警告,"イランが米空爆への報復としてバーレーンとクウェートにドローン・ミサイル攻撃を行い、米国が攻撃を続ければ交渉を「完全停止」すると警告した。トランプ大統領はSNSでイランが停戦合意に違反したと非難し、強硬な姿勢を示した。ホルムズ海峡再開につながった停戦は、この応酬で最大の試練を迎えている。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2Flive%2F2026%2Fjun%2F28%2Firan-strait-of-hormuz-donald-trump-vance-peace-talks-bahrain-kuwait-strikes-latest-news-updates)",1,1,,https://www.theguardian.com/world/live/2026/jun/28/iran-strait-of-hormuz-donald-trump-vance-peace-talks-bahrain-kuwait-strikes-latest-news-updates
N0035,2026-06-24,ニュース,北朝鮮、核戦力拡大を宣言,"北朝鮮の金正恩総書記は、労働党の会合で核戦力の着実な拡大が不安定化する世界情勢に対処する「最も正しく独自の道」だと述べ、米国とその同盟国からの脅威増大を理由に挙げた。金氏は最近、軍艦への核ミサイル搭載や核兵器級物質の生産倍増、兵器体系の拡大方針も相次いで表明しており、今回の発言はその延長線上にある。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjun%2F24%2Fnorth-korea-nuclear-program-kim-jong-un)",1,1,,https://www.theguardian.com/world/2026/jun/24/north-korea-nuclear-program-kim-jong-un
N0036,2026-06-15,ニュース,米・イラン、和平の枠組み合意,"トランプ米大統領とイラン高官が、15週間続いた戦争を終わらせる和平の枠組み合意に達したと発表した。イラン最高安全保障会議は、レバノン戦線を含む全戦線での軍事作戦を月曜夜から恒久的に停止すると表明した。合意の詳細な条件はなお不明確だが、ホルムズ海峡の再開などが柱とされる。核開発計画をめぐる交渉は、この枠組みのもとで改めて行われる見通しとなった。
[記事本文](https://translate.google.com/translate?sl=en&tl=ja&u=https%3A%2F%2Fwww.theguardian.com%2Fworld%2F2026%2Fjun%2F14%2Ftrump-calls-for-restraint-israel-airstrikes-beirut-us-iran-peace-deal)",1,1,,https://www.theguardian.com/world/2026/jun/14/trump-calls-for-restraint-israel-airstrikes-beirut-us-iran-peace-deal
